,document_id,sentence_number,sentence_text,tagged_text,ner_tag,tagged_text_loci,ner_model,probability
16,2147483647,1,rt bomb disposal squad neutralises ied detected on bandipora sopore road between badyara and kanbathi villages in bandipora ,badyara,B-location,12,tner/bert-large-tweetner7-2020,0.999972
17,2147483647,1,rt bomb disposal squad neutralises ied detected on bandipora sopore road between badyara and kanbathi villages in bandipora ,kanbathi villages,B-location,14,tner/bert-large-tweetner7-2020,0.999975
18,2147483647,1,rt bomb disposal squad neutralises ied detected on bandipora sopore road between badyara and kanbathi villages in bandipora ,bandipora,B-location,17,tner/bert-large-tweetner7-2020,0.999977
19,2147483647,1,rt ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi ,rajouri army,B-group,8,tner/bert-large-tweetner7-2020,0.999068
20,2147483647,1,rt ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi ,rahul gandhi,B-person,23,tner/bert-large-tweetner7-2020,0.984389
21,2147483647,1,replacing any of the long term scooby doo voice actors is like a delicate bomb defusal replacing all of them at once is like hitting a suspected ied with a sledgehammer ,scooby doo,B-creative_work,6,tner/bert-large-tweetner7-2020,0.991719
22,2147483647,1,rt a car bomb ied went off at the gate of sayed ul shuhada highschool hazara populated school in barchi of kabul two more e ,sayed ul shuhada,B-person,11,tner/bert-large-tweetner7-2020,0.921165
23,2147483647,1,rt a car bomb ied went off at the gate of sayed ul shuhada highschool hazara populated school in barchi of kabul two more e ,highschool hazara,B-location,14,tner/bert-large-tweetner7-2020,0.841521
24,2147483647,1,rt a car bomb ied went off at the gate of sayed ul shuhada highschool hazara populated school in barchi of kabul two more e ,school,B-location,17,tner/bert-large-tweetner7-2020,0.964675
25,2147483647,1,rt a car bomb ied went off at the gate of sayed ul shuhada highschool hazara populated school in barchi of kabul two more e ,barchi kabul,B-location,19,tner/bert-large-tweetner7-2020,0.999968
26,2147483647,1,rt ied found on nh1 at kutta mode in wussankhui swift action by sf bomb disposal squad led to ,wussankhui,B-location,9,tner/bert-large-tweetner7-2020,0.999977
27,2147483647,1,rt ied found on nh1 at kutta mode in wussankhui swift action by sf bomb disposal squad led to ,sf,B-group,13,tner/bert-large-tweetner7-2020,0.945697
28,2147483647,1,two ieds found destroyed in rajouri police  ,rajouri,B-location,5,tner/bert-large-tweetner7-2020,0.999986
29,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu dr gaurav pradhan,rajouri army,B-group,7,tner/bert-large-tweetner7-2020,0.999946
30,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu dr gaurav pradhan,rahul gandhi,B-person,22,tner/bert-large-tweetner7-2020,0.999979
31,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu dr gaurav pradhan,budhal road,B-location,33,tner/bert-large-tweetner7-2020,0.999966
32,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu dr gaurav pradhan,kotranka town,B-location,36,tner/bert-large-tweetner7-2020,0.999955
33,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu dr gaurav pradhan,pappu,B-person,39,tner/bert-large-tweetner7-2020,0.993942
34,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu dr gaurav pradhan,jammu,B-location,43,tner/bert-large-tweetner7-2020,0.991584
35,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu dr gaurav pradhan,dr gaurav pradhan,B-person,44,tner/bert-large-tweetner7-2020,0.592578
36,2147483647,1,rt ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandh ,rajouri army,B-group,8,tner/bert-large-tweetner7-2020,0.998999
37,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,rajouri army,B-group,7,tner/bert-large-tweetner7-2020,0.999933
38,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,rahul gandhi,B-person,22,tner/bert-large-tweetner7-2020,0.999985
39,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,budhal road,B-location,33,tner/bert-large-tweetner7-2020,0.999965
40,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,kotranka town,B-location,36,tner/bert-large-tweetner7-2020,0.999955
41,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,pappu,B-person,39,tner/bert-large-tweetner7-2020,0.951661
42,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gandhi enter jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,jammu,B-location,43,tner/bert-large-tweetner7-2020,0.99991
43,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot it was expected that as soon as rahul gandhi enters jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,rajouri army,B-group,7,tner/bert-large-tweetner7-2020,0.999966
44,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot it was expected that as soon as rahul gandhi enters jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,bomb squad,B-group,10,tner/bert-large-tweetner7-2020,0.930948
45,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot it was expected that as soon as rahul gandhi enters jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,rahul gandhi,B-person,21,tner/bert-large-tweetner7-2020,0.999989
46,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot it was expected that as soon as rahul gandhi enters jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,budhal road,B-location,32,tner/bert-large-tweetner7-2020,0.999964
47,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot it was expected that as soon as rahul gandhi enters jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,kotranka town,B-location,35,tner/bert-large-tweetner7-2020,0.999954
48,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot it was expected that as soon as rahul gandhi enters jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,pappu,B-person,38,tner/bert-large-tweetner7-2020,0.982348
49,2147483647,1,ied fitted inside a bottle found in rajouri army and bomb squad on spot it was expected that as soon as rahul gandhi enters jk these things will happen exact location is budhal road near kotranka town and pappu is still in jammu,jammu,B-location,42,tner/bert-large-tweetner7-2020,0.999581
50,2147483647,1,rt thisdaythatyear 26 dec 2003 a 13 year old girl was killed and 08 citizens were injured in an ied blast at singhpur ,singhpur,B-location,22,tner/bert-large-tweetner7-2020,0.999986
51,2147483647,1,rt there is war like situation in balochistan baloch freedom fighters targeted a passenger train with ied blast several cas ,balochistan,B-location,7,tner/bert-large-tweetner7-2020,0.999989
52,2147483647,1,rt cobra jawan injured in ied blast triggered by cpi maoist cadres in west singhbhum district ,cobra jawan,B-person,1,tner/bert-large-tweetner7-2020,0.999806
53,2147483647,1,rt cobra jawan injured in ied blast triggered by cpi maoist cadres in west singhbhum district ,west singhbhum district narwal area,B-location,13,tner/bert-large-tweetner7-2020,0.999989
54,2147483647,1,cobra jawan injured in ied blast triggered by cpi maoist cadres in west singhbhum district ,cobra jawan,B-person,0,tner/bert-large-tweetner7-2020,0.999992
55,2147483647,1,cobra jawan injured in ied blast triggered by cpi maoist cadres in west singhbhum district ,west singhbhum district,B-location,12,tner/bert-large-tweetner7-2020,0.99999
56,2147483647,1,rt an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o ,improvised explosive,B-product,2,tner/bert-large-tweetner7-2020,0.589406
57,2147483647,1,rt an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o ,jani khel district russian uzp russian 11th december colombia,B-location,10,tner/bert-large-tweetner7-2020,0.999972
58,2147483647,1, reneged on the terms of the agreed withdrawal what do you call successful over 30 plus marines were killed by an ied explosive in the wake of the withdrawal and in a bid to save face us authorized a drone strike that not killed a innocent family thats successful to u ,plus marines,B-group,16,tner/bert-large-tweetner7-2020,0.99979
59,2147483647,1,rt pro ukrainian chechen foreign fighters near bakhmut recently prepared a gift for the russians it s an rc vbied with a 700k ,ukrainian chechen foreign fighters,B-group,2,tner/bert-large-tweetner7-2020,0.987963
60,2147483647,1,rt pro ukrainian chechen foreign fighters near bakhmut recently prepared a gift for the russians it s an rc vbied with a 700k ,bakhmut,B-location,7,tner/bert-large-tweetner7-2020,0.999952
61,2147483647,1,rt pro ukrainian chechen foreign fighters near bakhmut recently prepared a gift for the russians it s an rc vbied with a 700k ,russians,B-group,14,tner/bert-large-tweetner7-2020,0.999982
62,2147483647,1,rt a soldier of the pakistan army embraced martyrdom when an improvised explosive device ied exploded in general area jani khe ,pakistan army,B-group,5,tner/bert-large-tweetner7-2020,0.999982
63,2147483647,1,rt a soldier of the pakistan army embraced martyrdom when an improvised explosive device ied exploded in general area jani khe ,improvised explosive device,B-product,11,tner/bert-large-tweetner7-2020,0.997279
64,2147483647,1,rt a soldier of the pakistan army embraced martyrdom when an improvised explosive device ied exploded in general area jani khe ,jani khe,B-location,19,tner/bert-large-tweetner7-2020,0.999967
65,2147483647,1,an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o district khyber embraced shahadat sanitisation of the area is being carried out to eliminate any other terrorists  ,jani khel district,B-location,9,tner/bert-large-tweetner7-2020,0.999981
66,2147483647,1,an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o district khyber embraced shahadat sanitisation of the area is being carried out to eliminate any other terrorists  ,district khyber wine,B-location,19,tner/bert-large-tweetner7-2020,0.996583
67,2147483647,1,rt an improvised explosive device ied exploded in jani khel area bannu kpk resultantly own one troop embraced shahadat ,jani khel area,B-location,8,tner/bert-large-tweetner7-2020,0.99997
68,2147483647,1,rt an improvised explosive device ied exploded in jani khel area bannu kpk resultantly own one troop embraced shahadat ,shahadat,B-event,18,tner/bert-large-tweetner7-2020,0.639045
69,2147483647,1, lmao explosive under body shielding lmfao that flat shit aint gonna save nothin on the off chance youd drive over an ied or mine,  lmao,B-person,0,tner/bert-large-tweetner7-2020,0.999972
70,2147483647,1,an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o district khyber embraced shahadat sanitisation of the area is being carried out to eliminate any other terrorists  ,jani khel district,B-location,9,tner/bert-large-tweetner7-2020,0.999981
71,2147483647,1,an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o district khyber embraced shahadat sanitisation of the area is being carried out to eliminate any other terrorists  ,district khyber,B-location,19,tner/bert-large-tweetner7-2020,0.996583
72,2147483647,1,an improvised explosive device ied exploded in jani khel area bannu kpk resultantly own one troop embraced shahadat sanitization of the area is being carried out to eliminate any terrorists in the area sepoy gul sher age 24 yrs r o district khyber embraced shahadat ,jani khel area,B-location,7,tner/bert-large-tweetner7-2020,0.999985
73,2147483647,1,an improvised explosive device ied exploded in jani khel area bannu kpk resultantly own one troop embraced shahadat sanitization of the area is being carried out to eliminate any terrorists in the area sepoy gul sher age 24 yrs r o district khyber embraced shahadat ,district khyber,B-location,41,tner/bert-large-tweetner7-2020,0.974533
74,2147483647,1,ispr an improvised explosive device ied exploded in area of jani khel bannu district resultantly sepoy gul sher age 24 resident of khyber district embraced shahadat sanitization of area is being carried out to eliminate any terrorists ,jani khel bannu district,B-location,10,tner/bert-large-tweetner7-2020,0.99998
75,2147483647,1,ispr an improvised explosive device ied exploded in area of jani khel bannu district resultantly sepoy gul sher age 24 resident of khyber district embraced shahadat sanitization of area is being carried out to eliminate any terrorists ,khyber district,B-location,22,tner/bert-large-tweetner7-2020,0.999987
76,2147483647,1, ied sasa imekuwa improvised explosive donkey,improvised explosive donkey,B-product,4,tner/bert-large-tweetner7-2020,0.887944
77,2147483647,1,rt soldier sepoy gul sher 24 years of age and a resident of the district was martyred in an improv ,gul sher,B-person,3,tner/bert-large-tweetner7-2020,0.640177
78,2147483647,1,an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o district khyber embraced shahadat sanitisation of the area is being carried out to eliminate any other terrorists  ,jani khel district,B-location,9,tner/bert-large-tweetner7-2020,0.999981
79,2147483647,1,an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o district khyber embraced shahadat sanitisation of the area is being carried out to eliminate any other terrorists  ,district khyber,B-location,19,tner/bert-large-tweetner7-2020,0.996583
80,2147483647,1,rt attacks using improvised explosive devices ied rocket propelled guns have made the road one of kenya s most dangerous ,kenya,B-location,16,tner/bert-large-tweetner7-2020,0.916292
81,2147483647,1,a pakistan army soldier was martyred in an improvised explosive device ied attack in the jani khel area of khyber pakhtunkhwa s kp bannu district the military s media affairs wing said monday  ,pakistan army,B-group,1,tner/bert-large-tweetner7-2020,0.999983
82,2147483647,1,a pakistan army soldier was martyred in an improvised explosive device ied attack in the jani khel area of khyber pakhtunkhwa s kp bannu district the military s media affairs wing said monday  ,improvised explosive device,B-event,8,tner/bert-large-tweetner7-2020,0.913178
83,2147483647,1,a pakistan army soldier was martyred in an improvised explosive device ied attack in the jani khel area of khyber pakhtunkhwa s kp bannu district the military s media affairs wing said monday  ,jani khel area,B-location,15,tner/bert-large-tweetner7-2020,0.999979
84,2147483647,1,a pakistan army soldier was martyred in an improvised explosive device ied attack in the jani khel area of khyber pakhtunkhwa s kp bannu district the military s media affairs wing said monday  ,khyber pakhtunkhwa kp bannu district,B-location,19,tner/bert-large-tweetner7-2020,0.999981
85,2147483647,1,a pakistan army soldier was martyred in an improvised explosive device ied attack in the jani khel area of khyber pakhtunkhwa s kp bannu district the military s media affairs wing said monday  ,military,B-group,26,tner/bert-large-tweetner7-2020,0.998693
86,2147483647,1, soldier sepoy gul sher 24 years of age and a resident of the district was martyred in an improvised explosive device ied attack in the jani khel area of khyber pakhtunkhwas district ,soldier sepoy gul sher improvised explosive jani khel khyber pakhtunkhwas,B-person,1,tner/bert-large-tweetner7-2020,0.999886
87,2147483647,1, soldier sepoy gul sher 24 years of age and a resident of the khyber district was martyred in an improvised explosive device ied attack in the jani khel area of s bannu district  ,soldier sepoy gul sher khyber improvised explosive jani khel bannu,B-person,1,tner/bert-large-tweetner7-2020,0.950618
88,2147483647,1,a soldier of the pakistan army embraced martyrdom when an improvised explosive device ied exploded in general area jani khel of khyber pakhtunkhwa s bannu district on monday the military said for more ,pakistan army,B-group,4,tner/bert-large-tweetner7-2020,0.999986
89,2147483647,1,a soldier of the pakistan army embraced martyrdom when an improvised explosive device ied exploded in general area jani khel of khyber pakhtunkhwa s bannu district on monday the military said for more ,jani khel,B-location,18,tner/bert-large-tweetner7-2020,0.949743
90,2147483647,1,a soldier of the pakistan army embraced martyrdom when an improvised explosive device ied exploded in general area jani khel of khyber pakhtunkhwa s bannu district on monday the military said for more ,khyber pakhtunkhwa,B-location,21,tner/bert-large-tweetner7-2020,0.999979
91,2147483647,1,a soldier of the pakistan army embraced martyrdom when an improvised explosive device ied exploded in general area jani khel of khyber pakhtunkhwa s bannu district on monday the military said for more ,bannu district,B-location,24,tner/bert-large-tweetner7-2020,0.999145
92,2147483647,1,attacks using improvised explosive devices ied rocket propelled guns have made the road one of kenya s most dangerous as insecurity posed by al shabaab keeps growing ,al shabaab,B-group,23,tner/bert-large-tweetner7-2020,0.995302
93,2147483647,1,an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o district khyber embraced shahadat sanitisation of the area is being carried out to eliminate any other terrorists  ,jani khel district,B-location,9,tner/bert-large-tweetner7-2020,0.999981
94,2147483647,1,an improvised explosive device ied exploded in area of jani khel district resultantly sepoy gul sher 24 r o district khyber embraced shahadat sanitisation of the area is being carried out to eliminate any other terrorists  ,district khyber,B-location,19,tner/bert-large-tweetner7-2020,0.996583
95,2147483647,1,an improvised explosive device ied exploded in jani khel area bannu kpk resultantly own one troop embraced shahadat sanitization of the area is being carried out to eliminate any terrorists in the area 1 2 ,jani khel area,B-location,7,tner/bert-large-tweetner7-2020,0.999977
96,2147483647,1,rt k on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adj ,police,B-group,13,tner/bert-large-tweetner7-2020,0.930993
97,2147483647,1,rt k on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adj ,rajouri army field regiment,B-group,15,tner/bert-large-tweetner7-2020,0.998467
98,2147483647,1,rt k on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adj ,dassal,B-location,22,tner/bert-large-tweetner7-2020,0.999986
99,2147483647,1,rt jk on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoinin ,police,B-group,13,tner/bert-large-tweetner7-2020,0.97424
100,2147483647,1,rt jk on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoinin ,rajouri army field regiment,B-group,15,tner/bert-large-tweetner7-2020,0.999829
101,2147483647,1,rt jk on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoinin ,dassal hankey,B-location,22,tner/bert-large-tweetner7-2020,0.999985
102,2147483647,1,according to a statement issued by the peshawar capital city police nasir khan in charge of the badaber s shaikhan checkpost was patrolling in gula khan zangal an area bordering khyber agency when an improvised explosive device ied exploded near his vehicle ,peshawar capital,B-location,7,tner/bert-large-tweetner7-2020,0.999986
103,2147483647,1,according to a statement issued by the peshawar capital city police nasir khan in charge of the badaber s shaikhan checkpost was patrolling in gula khan zangal an area bordering khyber agency when an improvised explosive device ied exploded near his vehicle ,nasir khan,B-person,11,tner/bert-large-tweetner7-2020,0.999995
104,2147483647,1,according to a statement issued by the peshawar capital city police nasir khan in charge of the badaber s shaikhan checkpost was patrolling in gula khan zangal an area bordering khyber agency when an improvised explosive device ied exploded near his vehicle ,badaber,B-person,17,tner/bert-large-tweetner7-2020,0.881439
105,2147483647,1,according to a statement issued by the peshawar capital city police nasir khan in charge of the badaber s shaikhan checkpost was patrolling in gula khan zangal an area bordering khyber agency when an improvised explosive device ied exploded near his vehicle ,gula khan zangal,B-location,24,tner/bert-large-tweetner7-2020,0.99998
106,2147483647,1,according to a statement issued by the peshawar capital city police nasir khan in charge of the badaber s shaikhan checkpost was patrolling in gula khan zangal an area bordering khyber agency when an improvised explosive device ied exploded near his vehicle ,khyber agency,B-location,30,tner/bert-large-tweetner7-2020,0.999952
107,2147483647,1,rt on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoi ,police,B-group,12,tner/bert-large-tweetner7-2020,0.976183
108,2147483647,1,rt on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoi ,rajouri army field regiment,B-group,14,tner/bert-large-tweetner7-2020,0.686265
109,2147483647,1,rt on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoi ,dassal,B-location,21,tner/bert-large-tweetner7-2020,0.999983
110,2147483647,1,rt on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its ad ,police,B-group,12,tner/bert-large-tweetner7-2020,0.989708
111,2147483647,1,rt on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its ad ,rajouri army field regiment,B-group,14,tner/bert-large-tweetner7-2020,0.921899
112,2147483647,1,rt on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its ad ,dassal,B-location,21,tner/bert-large-tweetner7-2020,0.999981
113,2147483647,1,on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,rajouri army field regiment,B-group,13,tner/bert-large-tweetner7-2020,0.998382
114,2147483647,1,on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,dassal,B-location,20,tner/bert-large-tweetner7-2020,0.999983
115,2147483647,1,on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,dassal,B-location,32,tner/bert-large-tweetner7-2020,0.999979
116,2147483647,1,on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,rajouri police,B-corporation,47,tner/bert-large-tweetner7-2020,0.998741
117,2147483647,1,latest on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,rajouri army field regiment,B-group,14,tner/bert-large-tweetner7-2020,0.998296
118,2147483647,1,latest on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,dassal,B-location,21,tner/bert-large-tweetner7-2020,0.999982
119,2147483647,1,latest on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,dassal,B-location,33,tner/bert-large-tweetner7-2020,0.999978
120,2147483647,1,latest on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,rajouri police,B-corporation,48,tner/bert-large-tweetner7-2020,0.99804
121,2147483647,1,on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act ,police,B-corporation,11,tner/bert-large-tweetner7-2020,0.694623
122,2147483647,1,on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act ,rajouri army field regiment,B-group,13,tner/bert-large-tweetner7-2020,0.341263
123,2147483647,1,on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act ,dassal,B-location,20,tner/bert-large-tweetner7-2020,0.999984
124,2147483647,1,on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act ,dassal,B-location,32,tner/bert-large-tweetner7-2020,0.99998
125,2147483647,1,on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act ,bds,B-group,40,tner/bert-large-tweetner7-2020,0.874255
126,2147483647,1,jk on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,rajouri army field regiment,B-group,14,tner/bert-large-tweetner7-2020,0.997934
127,2147483647,1,jk on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,dassal,B-location,21,tner/bert-large-tweetner7-2020,0.999981
128,2147483647,1,jk on 22nd jan at 6pm a joint op was launched by police sog rajouri army field regiment crpf 72bn at dassal its adjoining area during search 2 ied s were recovered at dassal later on ied s were destroyed by bds team case registered under explosive act rajouri police,dassal,B-location,33,tner/bert-large-tweetner7-2020,0.999978
